Year,Category,Nominee,Won?
2009,Cinematography,Inglourious Basterds,NO
2009,Cinematography,The White Ribbon,NO
2009,Costume Design,Bright Star,NO
2009,Costume Design,Coco before Chanel,NO
2009,Costume Design,The Imaginarium of Doctor Parnassus,NO
2009,Costume Design,Nine,NO
2009,Costume Design,The Young Victoria,YES
2009,Directing,Avatar,NO
2009,Directing,The Hurt Locker,YES
2009,Directing,Inglourious Basterds,NO
2009,Directing,Precious: Based on the Novel 'Push' by Sapphire,NO
2009,Directing,Up in the Air,NO
2009,Documentary (Feature),Burma VJ,NO
2009,Documentary (Feature),The Cove,YES
2009,Documentary (Feature),"Food, Inc.",NO
2009,Documentary (Feature),The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,NO
2009,Documentary (Feature),Which Way Home,NO
2009,Documentary (Short Subject),China's Unnatural Disaster: The Tears of Sichuan Province,NO
2009,Documentary (Short Subject),The Last Campaign of Governor Booth Gardner,NO
2009,Documentary (Short Subject),The Last Truck: Closing of a GM Plant,NO
2009,Documentary (Short Subject),Music by Prudence,YES
2009,Documentary (Short Subject),Rabbit ö la Berlin,NO
2009,Film Editing,Avatar,NO
2009,Film Editing,District 9,NO
2009,Film Editing,The Hurt Locker,YES
2009,Film Editing,Inglourious Basterds,NO
2009,Film Editing,Precious: Based on the Novel 'Push' by Sapphire,NO
2009,Foreign Language Film,Ajami,NO
2009,Foreign Language Film,The Milk of Sorrow,NO
2009,Foreign Language Film,A Prophet,NO
2009,Foreign Language Film,The Secret in Their Eyes,YES
2009,Foreign Language Film,The White Ribbon,NO
2009,Makeup,Il Divo,NO
2009,Makeup,Star Trek,YES
2009,Makeup,The Young Victoria,NO
2009,Music (Scoring),Avatar,NO
2009,Music (Scoring),Fantastic Mr. Fox,NO
2009,Music (Scoring),The Hurt Locker,NO
2009,Music (Scoring),Sherlock Holmes,NO
2009,Music (Scoring),Up,YES
2009,Music (Song),The Princess and the Frog,NO
2009,Music (Song),The Princess and the Frog,NO
2009,Music (Song),Paris 36,NO
2009,Music (Song),Nine,NO
2009,Music (Song),Crazy Heart,YES
2009,Best Picture,Avatar,NO
2009,Best Picture,The Blind Side,NO
2009,Best Picture,District 9,NO
2009,Best Picture,An Education,NO
2009,Best Picture,The Hurt Locker,YES
2009,Best Picture,Inglourious Basterds,NO
2009,Best Picture,Precious: Based on the Novel 'Push' by Sapphire,NO
2009,Best Picture,A Serious Man,NO
2009,Best Picture,Up,NO
2009,Best Picture,Up in the Air,NO
2009,Short Film (Animated),French Roast,NO
2009,Short Film (Animated),Granny O'Grimm's Sleeping Beauty,NO
2009,Short Film (Animated),The Lady and the Reaper (La Dama y la Muerte),NO
2009,Short Film (Animated),Logorama,YES
2009,Short Film (Animated),A Matter of Loaf and Death,NO
2009,Short Film (Live Action),The Door,NO
2009,Short Film (Live Action),Instead of Abracadabra,NO
2009,Short Film (Live Action),Kavi,NO
2009,Short Film (Live Action),Miracle Fish,NO
2009,Short Film (Live Action),The New Tenants,YES
2009,Sound,Avatar,NO
2009,Sound,The Hurt Locker,YES
2009,Sound,Inglourious Basterds,NO
2009,Sound,Star Trek,NO
2009,Sound,Transformers: Revenge of the Fallen,NO
2009,Sound Editing,Avatar,NO
2009,Sound Editing,The Hurt Locker,YES
2009,Sound Editing,Inglourious Basterds,NO
2009,Sound Editing,Star Trek,NO
2009,Sound Editing,Up,NO
2009,Visual Effects,Avatar,YES
2009,Visual Effects,District 9,NO
2009,Visual Effects,Star Trek,NO
2009,Writing,District 9,NO
2009,Writing,An Education,NO
2009,Writing,In the Loop,NO
2009,Writing,Precious: Based on the Novel 'Push' by Sapphire,YES
2009,Writing,Up in the Air,NO
2009,Writing,The Hurt Locker,YES
2009,Writing,Inglourious Basterds,NO
2009,Writing,The Messenger,NO
2009,Writing,A Serious Man,NO
2009,Writing,Up,NO
2008,Actor -- Leading Role,The Visitor ,NO
2008,Actor -- Leading Role,Frost/Nixon ,NO
2008,Actor -- Leading Role,Milk ,YES
2008,Actor -- Leading Role,The Curious Case of Benjamin Button ,NO
2008,Actor -- Leading Role,The Wrestler ,NO
2008,Actor -- Supporting Role,Milk ,NO
2008,Actor -- Supporting Role,Tropic Thunder ,NO
2008,Actor -- Supporting Role,Doubt ,NO
2008,Actor -- Supporting Role,The Dark Knight ,YES
2008,Actor -- Supporting Role,Revolutionary Road ,NO
2008,Actress -- Leading Role,Rachel Getting Married ,NO
2008,Actress -- Leading Role,Changeling ,NO
2008,Actress -- Leading Role,Frozen River ,NO
2008,Actress -- Leading Role,Doubt ,NO
2008,Actress -- Leading Role,The Reader ,YES
2008,Actress -- Supporting Role,Doubt ,NO
2008,Actress -- Supporting Role,Vicky Cristina Barcelona ,YES
2008,Actress -- Supporting Role,Doubt ,NO
2008,Actress -- Supporting Role,The Curious Case of Benjamin Button ,NO
2008,Actress -- Supporting Role,The Wrestler ,NO
2008,Animated Feature Film,Bolt,NO
2008,Animated Feature Film,Kung Fu Panda,NO
2008,Animated Feature Film,WALL-E,YES
2008,Art Direction,Changeling,NO
2008,Art Direction,The Curious Case of Benjamin Button,YES
2008,Art Direction,The Dark Knight,NO
2008,Art Direction,The Duchess,NO
2008,Art Direction,Revolutionary Road,NO
2008,Cinematography,Changeling,NO
2008,Cinematography,The Curious Case of Benjamin Button,NO
2008,Cinematography,The Dark Knight,NO
2008,Cinematography,The Reader,NO
2008,Cinematography,Slumdog Millionaire,YES
2008,Costume Design,Australia,NO
2008,Costume Design,The Curious Case of Benjamin Button,NO
2008,Costume Design,The Duchess,YES
2008,Costume Design,Milk,NO
2008,Costume Design,Revolutionary Road,NO
2008,Directing,The Curious Case of Benjamin Button,NO
2008,Directing,Frost/Nixon,NO
2008,Directing,Milk,NO
2008,Directing,The Reader,NO
2008,Directing,Slumdog Millionaire,YES
2008,Documentary (Feature),The Betrayal (Nerakhoon),NO
2008,Documentary (Feature),Encounters at the End of the World,NO
2008,Documentary (Feature),The Garden,NO
2008,Documentary (Feature),Man on Wire,YES
2008,Documentary (Feature),Trouble the Water,NO
2008,Documentary (Short Subject),The Conscience of Nhem En,NO
2008,Documentary (Short Subject),The Final Inch,NO
2008,Documentary (Short Subject),Smile Pinki,YES
2008,Documentary (Short Subject),The Witness - From the Balcony of Room 306,NO
2008,Film Editing,The Curious Case of Benjamin Button,NO
2008,Film Editing,The Dark Knight,NO
2008,Film Editing,Frost/Nixon,NO
2008,Film Editing,Milk,NO
2008,Film Editing,Slumdog Millionaire,YES
2008,Foreign Language Film,The Baader Meinhof Complex,NO
2008,Foreign Language Film,The Class,NO
2008,Foreign Language Film,Departures,YES
2008,Foreign Language Film,Revanche,NO
2008,Foreign Language Film,Waltz with Bashir,NO
2008,Makeup,The Curious Case of Benjamin Button,YES
2008,Makeup,The Dark Knight,NO
2008,Makeup,Hellboy II: The Golden Army,NO
2008,Music (Scoring),The Curious Case of Benjamin Button,NO
2008,Music (Scoring),Defiance,NO
2008,Music (Scoring),Milk,NO
2008,Music (Scoring),Slumdog Millionaire,YES
2008,Music (Scoring),WALL-E,NO
2008,Music (Song),WALL-E,NO
2008,Music (Song),Slumdog Millionaire,YES
2008,Music (Song),Slumdog Millionaire,NO
2008,Best Picture,The Curious Case of Benjamin Button,NO
2008,Best Picture,Frost/Nixon,NO
2008,Best Picture,Milk,NO
2008,Best Picture,The Reader,NO
2008,Best Picture,Slumdog Millionaire,YES
2008,Short Film (Animated),La Maison en Petits Cubes,YES
2008,Short Film (Animated),Lavatory - Lovestory,NO
2008,Short Film (Animated),Oktapodi,NO
2008,Short Film (Animated),Presto,NO
2008,Short Film (Animated),This Way Up,NO
2008,Short Film (Live Action),Auf der Strecke (On the Line),NO
2008,Short Film (Live Action),Manon on the Asphalt,NO
2008,Short Film (Live Action),New Boy,NO
2008,Short Film (Live Action),The Pig,NO
2008,Short Film (Live Action),Spielzeugland (Toyland),YES
2008,Sound,The Curious Case of Benjamin Button,NO
2008,Sound,The Dark Knight,NO
2008,Sound,Slumdog Millionaire,YES
2008,Sound,WALL-E,NO
2008,Sound,Wanted,NO
2008,Sound Editing,The Dark Knight,YES
2008,Sound Editing,Iron Man,NO
2008,Sound Editing,Slumdog Millionaire,NO
2008,Sound Editing,WALL-E,NO
2008,Sound Editing,Wanted,NO
2008,Visual Effects,The Curious Case of Benjamin Button,YES
2008,Visual Effects,The Dark Knight,NO
2008,Visual Effects,Iron Man,NO
2008,Writing,The Curious Case of Benjamin Button,NO
2008,Writing,Doubt,NO
2008,Writing,Frost/Nixon,NO
2008,Writing,The Reader,NO
2008,Writing,Slumdog Millionaire,YES
2008,Writing,Frozen River,NO
2008,Writing,Happy-Go-Lucky,NO
2008,Writing,In Bruges,NO
2008,Writing,Milk,YES
2008,Writing,WALL-E,NO
2007,Actor -- Leading Role,Michael Clayton ,NO
2007,Actor -- Leading Role,There Will Be Blood ,YES
2007,Actor -- Leading Role,Sweeney Todd The Demon Barber of Fleet Street ,NO
2007,Actor -- Leading Role,In the Valley of Elah ,NO
2007,Actor -- Leading Role,Eastern Promises ,NO
2007,Actor -- Supporting Role,The Assassination of Jesse James by the Coward Robert Ford ,NO
2007,Actor -- Supporting Role,No Country for Old Men ,YES
2007,Actor -- Supporting Role,Charlie Wilson's War ,NO
2007,Actor -- Supporting Role,Into the Wild ,NO
2007,Actor -- Supporting Role,Michael Clayton ,NO
2007,Actress -- Leading Role,Elizabeth: The Golden Age ,NO
2007,Actress -- Leading Role,Away from Her ,NO
2007,Actress -- Leading Role,La Vie en Rose ,YES
2007,Actress -- Leading Role,The Savages ,NO
2007,Actress -- Leading Role,Juno ,NO
2007,Actress -- Supporting Role,I'm Not There ,NO
2007,Actress -- Supporting Role,American Gangster ,NO
2007,Actress -- Supporting Role,Atonement ,NO
2007,Actress -- Supporting Role,Gone Baby Gone ,NO
2007,Actress -- Supporting Role,Michael Clayton ,YES
2007,Animated Feature Film,Persepolis,NO
2007,Animated Feature Film,Ratatouille,YES
2007,Animated Feature Film,Surf's Up,NO
2007,Art Direction,American Gangster,NO
2007,Art Direction,Atonement,NO
2007,Art Direction,The Golden Compass,NO
2007,Art Direction,Sweeney Todd The Demon Barber of Fleet Street,YES
2007,Art Direction,There Will Be Blood,NO
2007,Cinematography,The Assassination of Jesse James by the Coward Robert Ford,NO
2007,Cinematography,Atonement,NO
2007,Cinematography,The Diving Bell and the Butterfly,NO
2007,Cinematography,No Country for Old Men,NO
2007,Cinematography,There Will Be Blood,YES
2007,Costume Design,Across the Universe,NO
2007,Costume Design,Atonement,NO
2007,Costume Design,Elizabeth: The Golden Age,YES
2007,Costume Design,La Vie en Rose,NO
2007,Costume Design,Sweeney Todd The Demon Barber of Fleet Street,NO
2007,Directing,The Diving Bell and the Butterfly,NO
2007,Directing,Juno,NO
2007,Directing,Michael Clayton,NO
2007,Directing,No Country for Old Men,YES
2007,Directing,There Will Be Blood,NO
2007,Documentary (Feature),No End in Sight,NO
2007,Documentary (Feature),Operation Homecoming: Writing the Wartime Experience,NO
2007,Documentary (Feature),Sicko,NO
2007,Documentary (Feature),Taxi to the Dark Side,YES
2007,Documentary (Feature),War/Dance,NO
2007,Documentary (Short Subject),Freeheld,YES
2007,Documentary (Short Subject),La Corona (The Crown),NO
2007,Documentary (Short Subject),Salim Baba,NO
2007,Documentary (Short Subject),Sari's Mother,NO
2007,Film Editing,The Bourne Ultimatum,YES
2007,Film Editing,The Diving Bell and the Butterfly,NO
2007,Film Editing,Into the Wild,NO
2007,Film Editing,No Country for Old Men,NO
2007,Film Editing,There Will Be Blood,NO
2007,Foreign Language Film,Beaufort,NO
2007,Foreign Language Film,The Counterfeiters,YES
2007,Foreign Language Film,Katyn,NO
2007,Foreign Language Film,Mongol,NO
2007,Foreign Language Film,12,NO
2007,Makeup,La Vie en Rose,YES
2007,Makeup,Norbit,NO
2007,Makeup,Pirates of the Caribbean: At World's End,NO
2007,Music (Scoring),Atonement,YES
2007,Music (Scoring),The Kite Runner,NO
2007,Music (Scoring),Michael Clayton,NO
2007,Music (Scoring),Ratatouille,NO
2007,Music (Scoring),3:10 to Yuma,NO
2007,Music (Song),Once,YES
2007,Music (Song),Enchanted,NO
2007,Music (Song),August Rush,NO
2007,Music (Song),Enchanted,NO
2007,Music (Song),Enchanted,NO
2007,Best Picture,Atonement,NO
2007,Best Picture,Juno,NO
2007,Best Picture,Michael Clayton,NO
2007,Best Picture,No Country for Old Men,YES
2007,Best Picture,There Will Be Blood,NO
2007,Short Film (Animated),I Met the Walrus,NO
2007,Short Film (Animated),Madame Tutli-Putli,NO
2007,Short Film (Animated),Même les Pigeons Vont au Paradis (Even Pigeons Go to Heaven),NO
2007,Short Film (Animated),My Love (Moya Lyubov),NO
2007,Short Film (Animated),Peter & the Wolf,YES
2007,Short Film (Live Action),At Night,NO
2007,Short Film (Live Action),Il Supplente (The Substitute),NO
2007,Short Film (Live Action),Le Mozart des Pickpockets (The Mozart of Pickpockets),YES
2007,Short Film (Live Action),Tanghi Argentini,NO
2007,Short Film (Live Action),The Tonto Woman,NO
2007,Sound,The Bourne Ultimatum,YES
2007,Sound,No Country for Old Men,NO
2007,Sound,Ratatouille,NO
2007,Sound,3:10 to Yuma,NO
2007,Sound,Transformers,NO
2007,Sound Editing,The Bourne Ultimatum,YES
2007,Sound Editing,No Country for Old Men,NO
2007,Sound Editing,Ratatouille,NO
2007,Sound Editing,There Will Be Blood,NO
2007,Sound Editing,Transformers,NO
2007,Visual Effects,The Golden Compass,YES
2007,Visual Effects,Pirates of the Caribbean: At World's End,NO
2007,Visual Effects,Transformers,NO
2007,Writing,Atonement,NO
2007,Writing,Away from Her,NO
2007,Writing,The Diving Bell and the Butterfly,NO
2007,Writing,No Country for Old Men,YES
2007,Writing,There Will Be Blood,NO
2007,Writing,Juno,YES
2007,Writing,Lars and the Real Girl,NO
2007,Writing,Michael Clayton,NO
2007,Writing,Ratatouille,NO
2007,Writing,The Savages,NO
2006,Actor -- Leading Role,Blood Diamond ,NO
2006,Actor -- Leading Role,Half Nelson ,NO
2006,Actor -- Leading Role,Venus ,NO
2006,Actor -- Leading Role,The Pursuit of Happyness ,NO
2006,Actor -- Leading Role,The Last King of Scotland ,YES
2006,Actor -- Supporting Role,Little Miss Sunshine ,YES
2006,Actor -- Supporting Role,Little Children ,NO
2006,Actor -- Supporting Role,Blood Diamond ,NO
2006,Actor -- Supporting Role,Dreamgirls ,NO
2006,Actor -- Supporting Role,The Departed ,NO
2006,Actress -- Leading Role,Volver ,NO
2006,Actress -- Leading Role,Notes on a Scandal ,NO
2006,Actress -- Leading Role,The Queen ,YES
2006,Actress -- Leading Role,The Devil Wears Prada ,NO
2006,Actress -- Leading Role,Little Children ,NO
2006,Actress -- Supporting Role,Babel ,NO
2006,Actress -- Supporting Role,Notes on a Scandal ,NO
2006,Actress -- Supporting Role,Little Miss Sunshine ,NO
2006,Actress -- Supporting Role,Dreamgirls ,YES
2006,Actress -- Supporting Role,Babel ,NO
2006,Animated Feature Film,Cars,NO
2006,Animated Feature Film,Happy Feet,YES
2006,Animated Feature Film,Monster House,NO
2006,Art Direction,Dreamgirls,NO
2006,Art Direction,The Good Shepherd,NO
2006,Art Direction,Pan's Labyrinth,YES
2006,Art Direction,Pirates of the Caribbean: Dead Man's Chest,NO
2006,Art Direction,The Prestige,NO
2006,Cinematography,The Black Dahlia,NO
2006,Cinematography,Children of Men,NO
2006,Cinematography,The Illusionist,NO
2006,Cinematography,Pan's Labyrinth,YES
2006,Cinematography,The Prestige,NO
2006,Costume Design,Curse of the Golden Flower,NO
2006,Costume Design,The Devil Wears Prada,NO
2006,Costume Design,Dreamgirls,NO
2006,Costume Design,Marie Antoinette,YES
2006,Costume Design,The Queen,NO
2006,Directing,Babel,NO
2006,Directing,The Departed,YES
2006,Directing,Letters from Iwo Jima,NO
2006,Directing,The Queen,NO
2006,Directing,United 93,NO
2006,Documentary (Feature),Deliver Us from Evil,NO
2006,Documentary (Feature),An Inconvenient Truth,YES
2006,Documentary (Feature),Iraq in Fragments,NO
2006,Documentary (Feature),Jesus Camp,NO
2006,Documentary (Feature),"My Country, My Country",NO
2006,Documentary (Short Subject),The Blood of Yingzhou District,YES
2006,Documentary (Short Subject),Recycled Life,NO
2006,Documentary (Short Subject),Rehearsing a Dream,NO
2006,Documentary (Short Subject),Two Hands,NO
2006,Film Editing,Babel,NO
2006,Film Editing,Blood Diamond,NO
2006,Film Editing,Children of Men,NO
2006,Film Editing,The Departed,YES
2006,Film Editing,United 93,NO
2006,Foreign Language Film,After the Wedding,NO
2006,Foreign Language Film,Days of Glory (Indigènes),NO
2006,Foreign Language Film,The Lives of Others,YES
2006,Foreign Language Film,Pan's Labyrinth,NO
2006,Foreign Language Film,Water,NO
2006,Makeup,Apocalypto,NO
2006,Makeup,Click,NO
2006,Makeup,Pan's Labyrinth,YES
2006,Music (Scoring),Babel,YES
2006,Music (Scoring),The Good German,NO
2006,Music (Scoring),Notes on a Scandal,NO
2006,Music (Scoring),Pan's Labyrinth,NO
2006,Music (Scoring),The Queen,NO
2006,Music (Song),An Inconvenient Truth,YES
2006,Music (Song),Dreamgirls,NO
2006,Music (Song),Dreamgirls,NO
2006,Music (Song),Cars,NO
2006,Music (Song),Dreamgirls,NO
2006,Best Picture,Babel,NO
2006,Best Picture,The Departed,YES
2006,Best Picture,Letters from Iwo Jima,NO
2006,Best Picture,Little Miss Sunshine,NO
2006,Best Picture,The Queen,NO
2006,Short Film (Animated),The Danish Poet,YES
2006,Short Film (Animated),Lifted,NO
2006,Short Film (Animated),The Little Matchgirl,NO
2006,Short Film (Animated),Maestro,NO
2006,Short Film (Animated),No Time for Nuts,NO
2006,Short Film (Live Action),Binta and the Great Idea (Binta Y La Gran Idea),NO
2006,Short Film (Live Action),Äramos Pocos (One Too Many),NO
2006,Short Film (Live Action),Helmer & Son,NO
2006,Short Film (Live Action),The Saviour,NO
2006,Short Film (Live Action),West Bank Story,YES
2006,Sound,Apocalypto,NO
2006,Sound,Blood Diamond,NO
2006,Sound,Dreamgirls,YES
2006,Sound,Flags of Our Fathers,NO
2006,Sound,Pirates of the Caribbean: Dead Man's Chest,NO
2006,Sound Editing,Apocalypto,NO
2006,Sound Editing,Blood Diamond,NO
2006,Sound Editing,Flags of Our Fathers,NO
2006,Sound Editing,Letters from Iwo Jima,YES
2006,Sound Editing,Pirates of the Caribbean: Dead Man's Chest,NO
2006,Visual Effects,Pirates of the Caribbean: Dead Man's Chest,YES
2006,Visual Effects,Poseidon,NO
2006,Visual Effects,Superman Returns,NO
2006,Writing,Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,NO
2006,Writing,Children of Men,NO
2006,Writing,The Departed,YES
2006,Writing,Little Children,NO
2006,Writing,Notes on a Scandal,NO
2006,Writing,Babel,NO
2006,Writing,Letters from Iwo Jima,NO
2006,Writing,Little Miss Sunshine,YES
2006,Writing,Pan's Labyrinth,NO
2006,Writing,The Queen,NO
2005,Actor -- Leading Role,Capote ,YES
2005,Actor -- Leading Role,Hustle & Flow ,NO
2005,Actor -- Leading Role,Brokeback Mountain ,NO
2005,Actor -- Leading Role,Walk the Line ,NO
2005,Actor -- Leading Role,"Good Night, and Good Luck. ",NO
2005,Actor -- Supporting Role,Syriana ,YES
2005,Actor -- Supporting Role,Crash ,NO
2005,Actor -- Supporting Role,Cinderella Man ,NO
2005,Actor -- Supporting Role,Brokeback Mountain ,NO
2005,Actor -- Supporting Role,A History of Violence ,NO
2005,Actress -- Leading Role,Mrs. Henderson Presents ,NO
2005,Actress -- Leading Role,Transamerica ,NO
2005,Actress -- Leading Role,Pride & Prejudice ,NO
2005,Actress -- Leading Role,North Country ,NO
2005,Actress -- Leading Role,Walk the Line ,YES
2005,Actress -- Supporting Role,Junebug ,NO
2005,Actress -- Supporting Role,Capote ,NO
2005,Actress -- Supporting Role,North Country ,NO
2005,Actress -- Supporting Role,The Constant Gardener ,YES
2005,Actress -- Supporting Role,Brokeback Mountain ,NO
2005,Animated Feature Film,Howl's Moving Castle,NO
2005,Animated Feature Film,Tim Burton's Corpse Bride,NO
2005,Animated Feature Film,Wallace & Gromit in The Curse of the Were-Rabbit,YES
2005,Art Direction,"Good Night, and Good Luck.",NO
2005,Art Direction,Harry Potter and the Goblet of Fire,NO
2005,Art Direction,King Kong,NO
2005,Art Direction,Memoirs of a Geisha,YES
2005,Art Direction,Pride & Prejudice,NO
2005,Cinematography,Batman Begins,NO
2005,Cinematography,Brokeback Mountain,NO
2005,Cinematography,"Good Night, and Good Luck.",NO
2005,Cinematography,Memoirs of a Geisha,YES
2005,Cinematography,The New World,NO
2005,Costume Design,Charlie and the Chocolate Factory,NO
2005,Costume Design,Memoirs of a Geisha,YES
2005,Costume Design,Mrs. Henderson Presents,NO
2005,Costume Design,Pride & Prejudice,NO
2005,Costume Design,Walk the Line,NO
2005,Directing,Brokeback Mountain,YES
2005,Directing,Capote,NO
2005,Directing,Crash,NO
2005,Directing,"Good Night, and Good Luck.",NO
2005,Directing,Munich,NO
2005,Documentary (Feature),Darwin's Nightmare,NO
2005,Documentary (Feature),Enron: The Smartest Guys in the Room,NO
